Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge,Discount Amount,Discount Flag,Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Color_Black,Color_Blue,Color_Brown,Color_Cream,Color_Green,Color_Grey,Color_Khaki,Color_Multi-Color,Color_Orange,Color_Pink,Color_Purple,Color_Red,Color_White,Color_Yellow,Dominant Color,Title Word Count,Subtitle Word Count,Marketing Appeal Score
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Brown,Desert Khaki/Light Khaki/Black,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desert Khaki,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Orange,Apricot Agate/White/Black,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Apricot Agate,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Black,Black/Anthracite,Best Seller,0,0,2,2,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Black,Black/Hyper Orange/Hyper Crimson,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Black,Black/Gum Light Brown/Coconut Milk,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,White,White/White/Black,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Green,Jade Horizon/Light Silver/Vintage Green,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jade Horizon,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Grey,Gunsmoke/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gunsmoke,4,3,0
Nike Free Metcon 6,Men's Workout Shoes,120,120,0,Blue,Signal Blue/Black/White,Best Seller,0,0,2,3,0,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Signal Blue,4,3,0
Nike Pegasus 41,Men's Road Running Shoes,140,140,0,Grey,Photon Dust/Ashen Slate/Black/Metallic Silver,Best Seller,0,0,2,4,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Photon Dust,3,4,0
Nike Pegasus 41 PRM,Men's Road Running Shoes,119.97,150,20,Brown,Neutral Olive/Parachute Beige/Light Bone/Cargo Khaki,Member Product,30.03,1,2,4,0,0,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Neutral Olive,4,4,20
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,Black,Black/Fire Red/White,Best Seller,28.03,1,2,3,0,1,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,3,4,20
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,White,Summit White/Bright Crimson/Glacier Blue/Chrome,Best Seller,28.03,1,2,4,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Summit White,3,4,20
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,White,White/Black/Volt,Best Seller,28.03,1,2,3,0,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,White,3,4,20
Nike Pegasus 41,Men's Road Running Shoes,111.97,140,20,Black,Black/Sail/Volt/Glacier Blue,,28.03,1,2,4,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Black,3,4,20
