Title,Subtitle,Price,Initial Price,Discount (%),Color,Color Description,Badge
Nike Air More Uptempo Low,Men's Shoes,160,160,0,White,White/White,Just In
Nike Air More Uptempo Low,Men's Shoes,112.97,160,29,Grey,Dark Grey/Metallic Silver/Light Crimson,
Nike Air More Uptempo Low,Men's Shoes,160,160,0,White,White/Psychic Blue/Hyper Royal,
Nike Air More Uptempo Low,Men's Shoes,160,160,0,Black,Black/Metallic Silver/Photon Dust,
Nike Air Max 270,Men's Shoes,160,160,0,Yellow,Light Lemon Twist/Black/Anthracite/White,Best Seller
Nike Air Max 270,Men's Shoes,160,160,0,Black,Black/White/Solar Red/Anthracite,Best Seller
Nike Air Max 270,Men's Shoes,112.97,160,29,Black,Black/Bright Crimson/Phantom/Total Orange,Best Seller
Nike Air Max 270,Men's Shoes,160,160,0,Black,Black/Black/Black,Best Seller
Nike Air Max 270,Men's Shoes,160,160,0,White,White/White/Black,Best Seller
Nike Air Max 270,Shoes,160,160,0,Brown,Khaki/White/Black,
Nike Air Max 270,Men's Shoes,160,160,0,Grey,Vast Grey/College Grey/Racer Blue/Summit White,Just In
Nike Air Max 270,Men's Shoes,160,160,0,Blue,Midnight Navy/Black/Jade Horizon/White,Best Seller
Nike Air Force 1 '07,Men's Shoes,115,115,0,White,White/White,Best Seller
Nike Air Force 1 '07,Men's Shoes,115,115,0,White,White/Black,
Nike Air Force 1 '07,Men's Shoes,115,115,0,Black,Black/White,
Nike Air Force 1 '07,Men's Shoes,115,115,0,Black,Black/Black,Best Seller
Nike Cortez Leather,Men's Shoes,90,90,0,White,Sail/Gum Yellow/University Red,Just In
Nike Cortez Leather,Men's Shoes,63.97,90,28,Black,Black/Gum Medium Brown/Sesame/White,
Nike Cortez Leather,Men's Shoes,90,90,0,White,White/Black,
Nike Cortez Leather,Men's Shoes,90,90,0,Black,Black/White,
Nike Cortez Leather,Men's Shoes,90,90,0,White,Sail/Gum Yellow/Parachute Beige,
Nike Cortez Leather,Men's Shoes,90,90,0,White,White/Varsity Blue/Varsity Red,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,Grey,Platinum Tint/Phantom/Black/University Red,Just In
Nike Pegasus Plus,Men's Road Running Shoes,143.97,180,20,Blue,Glacier Blue/Light Lemon Twist/Life Lime/Black,
Nike Pegasus Plus,Men's Road Running Shoes,143.97,180,20,Grey,Pure Platinum/White/Black/Dusty Cactus,
Nike Pegasus Plus,Men's Road Running Shoes,143.97,180,20,Purple,Vivid Purple/Black/Hot Punch,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,Black,Black/Anthracite/White/Pure Platinum,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,White,White/Sail/Light Orewood Brown/Anthracite,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,Black,Black/Astronomy Blue/Vivid Grape/Hyper Crimson,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,Grey,Barely Grey/White/Black/Hot Punch,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,Green,Cargo Khaki/Neutral Olive/Racer Blue/Deep Royal Blue,
Nike Pegasus Plus,Men's Road Running Shoes,180,180,0,White,Sail/Pale Ivory/Volt/Black,
